ลำดับ,รหัสวิชา,ชื่อวิชา,หน่วยกิจ,ประเภทวิชา
215,03601303-60,"Electronics Laboratory for Computer Engineers
ปฏิบัติการอิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",1(0-3-2),T12
216,03603221-60,"Digital Systems Design
การออกแบบระบบดิจิทัล",3(3-0-6),T12
217,03603222-60,"Logic Circuit Laboratory
ปฏิบัติการวงจรตรรก",1(0-3-2),T12
218,03603223-60,"Computer Architecture and Organization
สถาปัตยกรรมและการจัดระบบคอมพิวเตอร์",3(3-0-6),T12
219,03603323-60,"Introduction to Embedded Systems
ระบบฝังตัวเบื้องต้น",3(3-0-6),T12
220,03603324-60,"Embedded Systems Laboratory
ปฏิบัติการระบบฝังตัว",1(0-3-2),T12
221,03603299-60,"Exploratory Project in Computing
โครงงานเชิงสำรวจทางวิชาการคอมพิวเตอร์",1(0-3-2),T12
222,03603497-60,"Seminar
สัมมนา",1,T12
223,03603421-60,"Internetworking with TCP/IP
การเชื่อมต่อเครือข่ายด้วยที่ซีพี/ไอพี",3(3-0-6),T12
224,03603422-60,"Wireless and Mobile Networks
เครือข่ายไร้สายและเคลื่อนที่",3(3-0-6),T12
225,03603423-60,"Network Programming
การโปรแกรมเครือข่าย",3(3-0-6),T12
226,03603424-60,"Computer Networks Laboratory I
ปฏิบัติการเครือข่ายคอมพิวเตอร์ I",1(0-3-2),T12
227,03603425-60,"Computer Networks Laboratory II
ปฏิบัติการเครือข่ายคอมพิวเตอร์ II",1(0-3-2),T12
228,03603426-60,"Computer Security
ความปลอดภัยในระบบคอมพิวเตอร์",3(3-0-6),T12
229,03603427-60,"Mobile Computing
ระบบคอมพิวเตอร์เคลื่อนที่",3(3-0-6),T12
230,03603428-60,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6),T12
231,03603411-60,"Functional Programming
การโปรแกรมเชิงฟังชั่น",3(3-0-6),T12
232,03603435-60,"Cloud Computing
การคำนวณแบบกลุ่มเมฆ",3(3-0-6),T12
233,03603436-60,"Web Application Development
การพัฒนาโปรแกรมประยุกต์บนเว็บ",3(3-0-6),T12
234,03603437-60,"Mobile Application Development
การพัฒนาโปรแกรมประยุกต์เคลื่อนที่",3(3-0-6),T12
235,03603441-60,"Object-Oriented Analysis and Design
การวิเคราะห์และออกแบบเชิงวัตถุ",3(3-0-6),T12
236,03603482-60,"User Experience Design
การออกแบบประสบการณ์ของผู้ใช้",3(3-0-6),T12
237,03603484-60,"Computer Game Development
การพัฒนาเกมคอมพิวเตอร์",3(3-0-6),T12
238,01204213-60,"Theory of Computaiton
ทฤษฏีการคำนวณ",3(3-0-6),T12
239,03603351-60,"Introduction to Data Science
วิทยาศาสตร์ข้อมูลเบื้องต้น",3(3-0-6),T12
240,03603452-60,"Data Mining
การทำเหมืองข้อมูล",3(3-0-6),T12
241,03603461-60,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6),T12
242,03603462-60,"Statistical Learning
การเรียนรู้เชิงสถิติ",3(3-0-6),T12
243,03603463-60,"Biologically-Inspired Computational Intelligence
ปัญญาเชิงคำนวณโดยเลียนแบบวิธีการทางชีวภาพ",3(3-0-6),T12
244,03603371-60,"Digital Signal Processing for Computer Engineers
การประมวลผลสัญญาณดิจิทัลสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),T12
245,03603372-60,"Digital Image Processing
การประมวลผลภาพดิจิทัล",3(3-0-6),T12
246,03603464-60,"Computer Vision
คอมพิวเตอร์วิทัศน์",3(3-0-6),T12
247,03603481-60,"Computer Graphics
เรขภาพคอมพิวเตอร์",3(3-0-6),T12
248,03603485-60,"Digital Audio and Computer Music
เสียงดิจิทัลและดนตรีคอมพิวเตอร์",3(3-0-6),T12
249,03603495-60,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2),T12
250,03603499-60,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3),T12
251,03603432-60,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6),T12
252,03603451-60,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6),T12
253,03603471-60,"Embedded Systems Interfacing
การเชื่อมต่อกับระบบฝังตัว",3(3-0-6),T12
254,03603496-60,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1,T12
255,03603498-60,"Special Problems
ปัญหาพิเศษ",1,T12
256,03600390-60,"Co-operative Education Preparation
การเตรียมความพร้อมสหกิจศึกษา",3(3-0-6),T12
257,03600490-60,"Co-operative Education
สหกิจศึกษา",6,T12
258,01355101-65,"English for Everyday Life
ภาษาอังกฤษในชีวิตประจำวัน",3(3-0-6),T12
259,01355102-65,"English for University Life
ภาษาอังกฤษในมหาวิทยาลัย",3(3-0-6),T12
260,01355103-65,"English for Job Opportunities
ภาษาอังกฤษเพื่อโอกาสในการทำงาน",3(3-0-6),T12
261,03754xxx-65,กลุ่มวิชาภาษาอังกฤษเลือก (03754xxx),3(3-0-6),T12
262,03603171-65,"Introduction to Computer Engineering and Informatics
วิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์เบื้องต้น",3(3-0-6),T12
263,03603352-65,"Laws and Ethics in Information Technology
กฏหมายและจริยธรรทางเทคโนโลยีสารสนเทศ",3(3-0-6),T12
264,03603251-65,"Database Systems
ระบบฐานข้อมูล",3(3-0-6),T12
265,03603252-65,"Database Systems Laboratory
ปฏิบัติการระบบฐานข้อมูล",1(0-3-2),T12
266,03603212-65,"Abstract Data Types and Problem Solving
แบบชนิดข้อมูลนามธรรมและการแก้ปัญหา",3(3-0-6),T12
267,03603213-65,"Algorithm Design and Analysis
การออกแบบและวิเคราะห์ขั้นตอนวิธี",3(3-0-6),T12
268,03603214-65,"Programming Skills Development Laboratory
ปฏิบัติการพัฒนาทักษะการโปรแกรม",1(0-3-2),T12
269,03603241-65,"Application Development
การพัฒนาโปรแกรมประยุกต์",3(3-0-6),T12
270,03603341-65,"Software Engineering
วิศวกรรมซอฟต์แวร์",4(3-3-8),T12
271,03603342-65,"Combined Information Technology for Software Development Laboratory
ปฏิบัตการผสานเทคโนโลยีสารสนเทศเพื่อการพัฒนาซอฟต์แวร์",1(0-3-2),T12
272,03603211-65,"Discrete Mathematics
วิยุตคณิต",3(3-0-6),T12
273,03603312-65,"Probability and Statistics for Informatics
ความน่าจะเป็นและสถิติสำหรับสารสนเทศศาสตร์",3(3-0-6),T12
274,03603325-65,"Data Communications and Computer Networks
การสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์",3(3-0-6),T12
275,03603332-65,"Operating Systems
ระบบปฏิบัติการ",3(3-0-6),T12
276,03601203-65,"Electronics for Computer Engineers
อิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),T12
277,03601303-65,"Electronics Laboratory for Computer Engineers
ปฏิบัติการอิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",1(0-3-2),T12
278,03603221-65,"Digital Systems Design
การออกแบบระบบดิจิทัล",3(3-0-6),T12
279,03603222-65,"Logic Circuit Laboratory
ปฏิบัติการวงจรตรรก",1(0-3-2),T12
280,03603223-65,"Computer Architecture and Organization
สถาปัตยกรรมและการจัดระบบคอมพิวเตอร์",3(3-0-6),T12
281,03603323-65,"Introduction to Embedded Systems
ระบบฝังตัวเบื้องต้น",3(3-0-6),T12
282,03603324-65,"Embedded Systems Laboratory
ปฏิบัติการระบบฝังตัว",1(0-3-2),T12
283,03603497-65,"Seminar
สัมมนา",1,T12
284,03603321-65,"Computer Networks Laboratory
ปฏิบัติการเครือข่ายคอมพิวเตอรื",3(1-6-6),T12
285,03603421-65,"Internetworking with TCP/IP
การเชื่อมต่อเครือข่ายด้วยที่ซีพี/ไอพี",3(3-0-6),T12
286,03603422-65,"Wireless and Mobile Networks
เครือข่ายไร้สายและเคลื่อนที่",3(3-0-6),T12
287,03603423-65,"Network Programming
การโปรแกรมเครือข่าย",3(3-0-6),T12
288,03603426-65,"Cyber Security
ความมั่นคงปลอดภัยไซเบอร์",3(3-0-6),T12
289,03603427-65,"Mobile Computing
ระบบคอมพิวเตอร์เคลื่อนที่",3(3-0-6),T12
290,03603428-65,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6),T12
291,03603429-65,"Cryptography and Blockchain Technology
วิทยาการเข้ารหัสลับและเทคโนโลยีบบล็อกเชน",3(3-0-6),T12
292,03603411-65,"Functional Programming
การโปรแกรมเชิงฟังชั่น",3(3-0-6),T12
293,03603435-65,"Cloud Computing
การคำนวณแบบกลุ่มเมฆ",3(3-0-6),T12
294,03603436-65,"Web Application Development
การพัฒนาโปรแกรมประยุกต์บนเว็บ",3(3-0-6),T12
295,03603437-65,"Mobile Application Development
การพัฒนาโปรแกรมประยุกต์เคลื่อนที่",3(3-0-6),T12
296,03603482-65,"User Experience Design
การออกแบบประสบการณ์ของผู้ใช้",3(3-0-6),T12
297,03603484-65,"Computer Game Development
การพัฒนาเกมคอมพิวเตอร์",3(3-0-6),T12
298,03603441-65,"Software Testing
การทดสอบซอฟต์แวร์",3(3-0-6),T12
299,01204213-65,"Theory of Computaiton
ทฤษฏีการคำนวณ",3(3-0-6),T12
300,03603351-65,"Introduction to Data Science
วิทยาศาสตร์ข้อมูลเบื้องต้น",3(3-0-6),T12
301,03603452-65,"Mining Big Data
การทำเหมืองข้อมูลบิ๊กดาต้า",3(3-0-6),T12
302,03603461-65,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6),T12
303,03603462-65,"Machine Learning
การเรียนรู้ของเครื่อง",3(3-0-6),T12
304,03603463-65,"Biologically-Inspired Computational Intelligence
ปัญญาเชิงคำนวณโดยเลียนแบบวิธีการทางชีวภาพ",3(3-0-6),T12
305,03603465-65,"Natural Language Processing
การประมวลผลภาษาธรรมชาติ",3(3-0-6),T12
306,03603381-65,"Digital Signal Processing for Computer Engineers
การประมวลผลสัญญาณดิจิทัลสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),T12
307,03603382-65,"Digital Image Processing
การประมวลผลภาพดิจิทัล",3(3-0-6),T12
308,03603383-65,"Digital Identification
การระบุตัวตนดิจิทัล",3(3-0-6),T12
309,03603464-65,"Computer Vision
คอมพิวเตอร์วิทัศน์",3(3-0-6),T12
310,03603481-65,"Computer Graphics
เรขภาพคอมพิวเตอร์",3(3-0-6),T12
311,03603485-65,"Digital Audio and Computer Music
เสียงดิจิทัลและดนตรีคอมพิวเตอร์",3(3-0-6),T12
312,03603371-65,"Application Development for Embedded Devices
การพัฒนาโปรแกรมประยุกต์บนอุปกรณ์ฝังตัว",3(3-0-6),T12
313,03603471-65,"Embedded Systems Interfacing
การเชื่อมต่อกับระบบฝังตัว",3(3-0-6),T12
314,03603472-65,"Industrial Automation and Control
ระบบอัตโนมัติและการควบคุมทางอุตสาหกรรม",3(3-0-6),T12
315,03603473-65,"Digital Circuit Design with VHDL
การออกแบบวงจรดิจิทัลด้วยวีเอชดีแอล",3(3-0-6),T12
316,03603474-65,"Real-Time Operating System
ระบบปฏิบัติการเวลาจริง",3(3-0-6),T12
317,03603475-65,"Sensors and Transducer
อุปกรณ์รับรู้และตัวแปรสัญญาณ",3(3-0-6),T12
318,03603476-65,"Embedded System Circuit Design
การออกแบบวงจรระบบสมองกลฝังตัว",3(3-0-6),T12
319,03603495-65,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2),T12
320,03603499-65,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3),T12
321,03603432-65,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6),T12
322,03603451-65,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6),T12
323,03603496-65,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1,T12
324,03603498-65,"Special Problems
ปัญหาพิเศษ",1,T12
325,03601201-60,"Introduction to Electrical Engineering
วิศวกรรมไฟฟ้าเบื้องต้น",3(3-0-6),T13
326,03601202-60,"Electrical Engineering Laboratory
ปฏิบัติการวิศวกรรมไฟฟ้า",1(0-3-2),T13
327,03602311-60,"Manufacturing Processes I
กระบวนการผลิต I",3(3-0-6),T13
328,03604211-60,"Computer Aided Mechanical Engineering Design
การออกแบบใช้คอมพิวเตอร์ช่วยในงานวิศวกรรมเครื่องกล",3(2-3-6),T13
329,03604221-60,"Engineering Mechanics I
กลศาสตร์วิศวกรรม I",3(3-0-6),T13
330,03604222-60,"Engineering Mechanics II
กลศาสตร์วิศวกรรม II",3(3-0-6),T13
331,03604241-60,"Thermodynamics I
อุณหพลศาสตร์ I",3(3-0-6),T13
332,03604242-60,"Fluid Mechanics
กลศาสตร์ของไหล",3(3-0-6),T13
333,03604261-60,"Mechanics of Materials
กลศาสตร์ของวัสดุ",3(3-0-6),T13
334,03604271-60,"Introduction to Numerical Methods
วิธีเชิงตัวเลขเบื้องต้น",3(2-3-6),T13
335,03604281-60,"Workshop Practice
การฝึกงานโรงงาน",1(0-3-2),T13
336,03604321-60,"Mechanics of Machinery
กลศาสตร์ของเครื่องจักรกล",3(3-0-6),T13
337,03604322-60,"Mechanical Vibration
การสั่นเชิงกล",3(3-0-6),T13
338,03604323-60,"Engineering Measurements
การวัดทางวิศวกรรม",3(3-0-6),T13
339,03604331-60,"Internal Combustion Engines
เครื่องยนต์เผาไหม้ภายใน",3(3-0-6),T13
340,03604332-60,"Mechanics of Vehicles
กลศาสตร์ยานยนต์",3(3-0-6),T13
341,03604341-60,"Thermodynamics II
อุณหพลศาสตร์ II",3(3-0-6),T13
342,03604351-60,"Heat Transfer
การถ่ายโอนความร้อน",3(3-0-6),T13
343,03604352-60,"Refrigeration I
การทำความเย็น I",3(3-0-6),T13
344,03604361-60,"Machine Design I
การออกแบบเครื่องจักรกล I",3(3-0-6),T13
345,03604371-60,"Automatic Control
การควบคุมอัตโนมัติ",3(3-0-6),T13
346,03604381-60,"Mechanical Engineering Laboratory I
ปฏิบัติการวิศวกรรมเครื่องกล I",1(0-3-2),T13
347,03604382-60,"Mechanical Engineering Laboratory II
ปฏิบัติการวิศวกรรมเครื่องกล II",1(0-3-2),T13
348,03604441-60,"Fluid Machinery
เครื่องจักรกลของไหล",3(3-0-6),T13
349,03604442-60,"Power Plant Engineering
วิศวกรรมโรงผลิตกำลัง",3(3-0-6),T13
350,03604451-60,"Air Conditioning
การปรับอากาศ",3(3-0-6),T13
351,03604461-60,"Machine Design II
การออกแบบเครื่องจักรกล II",3(2-3-6),T13
352,03604497-60,"Seminar
สัมมนา",1,T13
353,03604333-60,"Vehicle System Design
การออกแบบระบบยานยนต์",3(2-3-6),T13
354,03604334-60,"Safety for Motor Vehicle
ความปลอดภัยของยานยนต์",3(3-0-6),T13
355,03604432-60,"Automotive Powertrains
เพาเวอร์เทรนส์ยานยนต์",3(3-0-6),T13
356,03604433-60,"Automotive Chassis
แชสซียานยนต์",3(3-0-6),T13
357,03604435-60,"Machinery Management
การจัดการเครื่องจักรกล",3(3-0-6),T13
358,03604444-60,"Solar Energy
พลังงานรังสีอาทิตย์",3(3-0-6),T13
359,03604445-60,"Gas Turbines
กังหันก๊าซ",3(3-0-6),T13
360,03604453-60,"Computational Fluid Dynamics
พลศาสตร์ของไหลเชิงคำนวณ",3(3-0-6),T13
361,03604462-60,"Principles of Fire Safety
หลักความปลอดภัยด้านอัคคีภัย",3(3-0-6),T13
362,03604463-60,"Design of Water-Based Fire Protection Systems
การออกแบบระบบป้องกันอัคคีภัยที่ใช้น้ำเป็นองค์ประกอบหลัก",3(3-0-6),T13
363,03604465-60,"Plumbing System Design
การออกแบบระบบท่อ",3(3-0-6),T13
364,03604466-60,"Designof Smoke Control Systems
การออกแบบระบบควบคุมควันไฟ",3(3-0-6),T13
365,03604495-60,"Mechanical and Design Engineering Project Preparation
การเตรียมโครงงานวิศวกรรมเครื่องกลและการออกแบบ",1(0-3-2),T13
366,03604496-60,"Selected Topics in Mechanical and Design Engineering
เรื่องเฉพาะทางวิศวกรรมเครื่องกลและการออกแบบ",3(3-0-6),T13
367,03604498-60,"Special Problems
ปัญหาพิเศษ",45352,T13
368,03604499-60,"Mechanical and Design Engineering Project
โครงงานวิศวกรรมเครื่องกลและการออกแบบ",2(0-6-3),T13
369,03601201-65,"Introduction to Electrical Engineering
วิศวกรรมไฟฟ้าเบื้องต้น",3(3-0-6),T13
370,03601202-65,"Electrical Engineering Laboratory
ปฏิบัติการวิศวกรรมไฟฟ้า",1(0-3-2),T13
371,03602311-65,"Manufacturing Processes I
กระบวนการผลิต I",3(3-0-6),T13
372,03604211-65,"Computer Aided Mechanical Engineering Design
การออกแบบใช้คอมพิวเตอร์ช่วยในงานวิศวกรรมเครื่องกล",3(2-3-6),T13
373,03604241-65,"Thermodynamics I
อุณหพลศาสตร์ I",3(3-0-6),T13
374,03604242-65,"Fluid Mechanics
กลศาสตร์ของไหล",3(3-0-6),T13
375,03604261-65,"Mechanics of Materials
กลศาสตร์ของวัสดุ",3(3-0-6),T13
376,03604262-65,"Health Safely and Environment
อาชีวอนามัย ความปลอดภัย และสิ่งแวดล้อม",3(3-0-6),T13
377,03604271-65,"Digital Technology in Mechanical Engineering
เทคโนโลบีดิจิทัลทางวิศวกรรมเครื่องกล",3(2-3-6),T13
378,03604281-65,"Workshop Practice
การฝึกงานโรงงาน",1(0-3-2),T13
379,03604321-65,"Mechanics of Machinery
กลศาสตร์ของเครื่องจักรกล",3(3-0-6),T13
380,03604322-65,"Mechanical Vibration
การสั่นเชิงกล",3(3-0-6),T13
381,03604323-65,"Engineering Measurements
การวัดทางวิศวกรรม",3(3-0-6),T13
382,03604331-65,"Internal Combustion Engines
เครื่องยนต์เผาไหม้ภายใน",3(3-0-6),T13
383,03604341-65,"Thermodynamics II
อุณหพลศาสตร์ II",3(3-0-6),T13
384,03604351-65,"Heat Transfer
การถ่ายโอนความร้อน",3(3-0-6),T13
385,03604353-65,"Refrigeration and Air Conditioning
การทำความเย็นและการปรับอากาศ",3(3-0-6),T13
386,03604361-65,"Machine Design I
การออกแบบเครื่องจักรกล I",3(3-0-6),T13
387,03604371-65,"Automatic Control
การควบคุมอัตโนมัติ",3(3-0-6),T13
388,03604381-65,"Mechanical Engineering Laboratory I
ปฏิบัติการวิศวกรรมเครื่องกล I",1(0-3-2),T13
389,03604435-65,"Machinery Management
การจัดการเครื่องจักรกล",3(3-0-6),T13
390,03604442-65,"Power Plant Engineering
วิศวกรรมโรงผลิตกำลัง",3(3-0-6),T13
391,03604461-65,"Machine Design II
การออกแบบเครื่องจักรกล II",3(2-3-6),T13
392,03604463-65,"Design of Water-Based Fire Protection Systems
การออกแบบระบบป้องกันอัคคีภัยที่ใช้น้ำเป็นองค์ประกอบหลัก",3(3-0-6),T13
393,03604471-65,"Robots,Artificial Intelligence,and Internet of Things
หุ่นยนต์ ปัญญาประดิษฐ์ และอินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6),T13
394,03604497-65,"Seminar
สัมมนา",1(1-0-2),T13
395,03604495-65,"Mechanical and Design Engineering Project Preparation
การเตรียมโครงงานวิศวกรรมเครื่องกลและการออกแบบ",1(0-3-2),T13
396,03604499-65,"Mechanical and Design Engineering Project
โครงงานวิศวกรรมเครื่องกลและการออกแบบ",2(0-6-3),T13
397,03604332-65,"Mechanics of Vehicles
กลศาสตร์ยานยนต์",3(3-0-6),T13
398,03604333-65,"Vehicle System Design
การออกแบบระบบยานยนต์",3(2-3-6),T13
399,03604334-65,"Safety for Motor Vehicle
ความปลอดภัยของยานยนต์",3(3-0-6),T13
400,03604432-65,"Automotive Powertrains
เพาเวอร์เทรนส์ยานยนต์",3(3-0-6),T13
401,03604433-65,"Automotive Chassis
แชสซียานยนต์",3(3-0-6),T13
402,03604437-65,"Lubrication
การหล่อลื่น",3(3-0-6),T13
403,03604441-65,"Fluid Machinery
เครื่องจักรกลของไหล",3(3-0-6),T13
404,03604444-65,"Solar Energy
พลังงานรังสีอาทิตย์",3(3-0-6),T13
405,03604445-65,"Gas Turbines
กังหันก๊าซ",3(3-0-6),T13
406,03604453-65,"Computational Fluid Dynamics
พลศาสตร์ของไหลเชิงคำนวณ",3(3-0-6),T13
407,03604462-65,"Principles of Fire Safety
หลักความปลอดภัยด้านอัคคีภัย",3(3-0-6),T13
408,03604382-65,"Mechanical Engineering Laboratory II
ปฏิบัติการวิศวกรรมเครื่องกล II",1(0-3-2),T13
409,03604465-65,"Plumbing System Design
การออกแบบระบบท่อ",3(3-0-6),T13
410,03604466-65,"Design of Smoke Control Systems
การออกแบบระบบควบคุมควันไฟ",3(3-0-6),T13
411,03604496-65,"Selected Topics in Mechanical and Design Engineering
เรื่องเฉพาะทางวิศวกรรมเครื่องกลและการออกแบบ",3(3-0-6),T13
412,03604498-65,"Special Problems
ปัญหาพิเศษ",1-3,T13
413,03601211-60,"Electric Circuit Analysis I 
การวิเคราะห์วงจรไฟฟ้า I",3(3-0-6),T14
414,03601212-60,"Electric Circuit Analysis II 
การวิเคราะห์วงจรไฟฟ้า II",3(3-0-6),T14
415,03601213-60,"Electric Circuit Laboratory 
ปฏิบัติการวงจรไฟฟ้า",1(0-3-2),T14
416,03601214-60,"Applied Linear Algebra in Electrical Engineering 
พีชคณิตเชิงเส้นประยุกต์ทางวิศวกรรมไฟฟ้า",3(3-0-6),T14
417,03601215-60,"Applied Probability for Electrical Engineers 
ความน่าจะเป็นประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6),T14
418,03601231-60,"Electronic Circuits and Systems I 
วงจรและระบบอิเล็กทรอนิกส์ I",3(3-0-6),T14
419,03601232-60,"Digital Circuits and Logic Design 
การออกแบบวงจรดิจิทัลและตรรกะ",3(3-0-6),T14
420,03601251-60,"Electromechanical Energy Conversion I 
การแปลงผันพลังงานเครื่องกลไฟฟา I",3(3-0-6),T14
421,03601252-60,"Electromechanical Energy Conversion Laboratory I 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟา I",1(0-3-2),T14
422,03601271-60,"Practice in Electrical Engineering 
การปฏิบัติงานทางวิศวกรรมไฟฟ้า",1(0-3-2),T14
423,03601311-60,"Signals and Systems 
สูญญาณและระบบ",3(3-0-6),T14
424,03601331-60,"Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์",1(0-3-2),T14
425,03601332-60,"Microprocessors 
ไมโครโพรเซสเซอร์",3(3-0-6),T14
426,03601341-60,"Electromagnetic Fields and Waves I 
สนามแม่เหล็กไฟฟ้าและคลื่น I",3(3-0-6),T14
427,03601361-60,"Electrical Instruments and Measurements I 
เครื่องมือวัดและการวัดทางไฟฟ้า I",3(3-0-6),T14
428,03601362-60,"Linear Control Systems 
ระบบควบคุมเชิงเส้น",3(3-0-6),T14
429,03601371-60,"Internship Preparation 
การเตรียมความพร้อมก่อนฝึกงาน",1(0-3-2),T14
430,03601495-60,"Electrical and Electronics Engineering Project I 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ I",1(0-3-2),T14
431,03601497-60,"Seminar 
สัมมนา",1,T14
432,03601499-60,"Electrical and Electronics Engineering Project II 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ II",2(0-6-3),T14
433,03604201-60,"Basic Principles of Engineering Mechanics 
หลักพื่นฐานทางกลศาสตร์วิศวกรรม",3(3-0-6),T14
434,03604281-60,"Workshop Practice 
การฝึกงานโรงงาน",1(0-3-2),T14
435,03601314-60,"Digital Signal Processing 
การประมวลสัญญาณดิจิทัล",3(3-0-6),T14
436,03601315-60,"Digital Signal Processing Laboratory 
ปฏิบัติการประมวลสัญญาณดิจิทัล",1(0-3-2),T14
437,03601321-60,"Principles of Communications 
หลักการสื่อสาร",3(3-0-6),T14
438,03601323-60,"Communication Laboratory 
ปฏิบัติการไฟฟ้าสื่สาร",1(0-3-2),T14
439,03601333-60,"Microprocessors Laboratory 
ปฏิบัติการไมโครโพรเซสเซอร์",1(0-3-2),T14
