ลำดับ,รหัสวิชา,ชื่อวิชา,หน่วยกิจ,ประเภทวิชา
440,03601334-60,"Electronic Circuits and Systems II 
วงจรและระบบอิเล็กทรอนิกส์ II",3(3-0-6),T14
441,03601335-60,"Advanced Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์ขั้นสูง",1(0-3-2),T14
442,03601351-60,"Electromechanical Energy Conversion II 
การแปลงผันพลังงานเครื่องกลไฟฟ้า II",3(3-0-6),T14
443,03601352-60,"Electromechanical Energy Conversion Laboratory II 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟ้า II",1(0-3-2),T14
444,03601353-60,"Power Systems in Buildings 
ระบบกำลังในอาคาร",3(3-0-6),T14
445,03601354-60,"Electric Power Systems Analysis I 
การวิเคราะห์ระบบไฟฟ้ากำลัง I",3(3-0-6),T14
446,03601355-60,"High-Voltage Engineering 
วิศวกรรมไฟฟ้าแรงสูง",3(3-0-6),T14
447,03601356-60,"Illumination Engineering 
วิศวกรรมการส่องสว่าง",3(3-0-6),T14
448,03601363-60,"Control and Measurement Laboratory 
ปฏิบัติการการควบคุมและการวัด",1(0-3-2),T14
449,03601364-60,"Industrial Automation Systems 
ระบบอัตโนมัติทางอุตสาหกรรม",3(3-0-6),T14
450,03601365-60,"Industrial Automation Systems Laboratory 
ปฏิบัติการระบบอัตโนมัติทางอุตสาหกรรม",1(0-3-2),T14
451,03601372-60,"Volunteer Electrical Engineer for Social Development 
วิศวกรไฟฟ้าอาสาสําหรับการพัฒนาสังคม",3(3-0-6),T14
452,03601381-60,"Computer Programming for Electrical Engineers 
การเขียนโปรแกรมคอมพิวเตอร์สําหรับวิศวกรไฟฟ้า",3(3-0-6),T14
453,03601432-60,"Analog Integrated Circuit Application Designs 
การออกแบบประยุกต์วงจรรวมแอนะล็อก",3(3-0-6),T14
454,03601433-60,"Industrial Electronics 
อิเล็กทรอนิกส์อุตสาหกรรม",3(3-0-6),T14
455,03601451-60,"Basic Power System Reliability 
ความเชื่อถือได้เบื่องตนของระบบกำลัง",3(3-0-6),T14
456,03601452-60,"Electric Power Plants 
โรงจักรไฟฟ้ากำลัง",3(3-0-6),T14
457,03601453-60,"Electric Power Systems Analysis II 
การวิเคราะห์ระบบไฟฟ้ากำลัง II",3(3-0-6),T14
458,03601454-60,"Electric Power Systems Analysis Laboratory 
ปฏิบัติการการวิเคราะห์ระบบไฟฟ้า",1(0-3-2),T14
459,03601456-60,"Power System Protection 
การป้องกันระบบไฟฟ้ากำลัง",3(3-0-6),T14
460,03601457-60,"Electrical Systems and Signal Systems in Building 
ระบบไฟฟ้าและระบบสัญญาณในอาคาร",3(3-0-6),T14
461,03601458-60,"Electrical Power Generation, Transmission and Distribution 
การผลิต สูง และจำหน่ายกำลังไฟฟ้า",3(3-0-6),T14
462,03601459-60,Safety in Electrical Engineering,3(3-0-6),T14
463,03601461-60,"Process Control 
การควบคุมกระบวนการ",3(3-0-6),T14
464,03601462-60,"Industrial Sensors and Control Devices 
เซนเซอร์ทางอุตสาหกรรมและอุปกรณ์ควบคุม",3(3-0-6),T14
465,03601463-60,"Computer Control of Machines and Processes 
การควบคุมเครื่องจักรกลและกระบวนการด้วยคอมพิวเตอร์",3(3-0-6),T14
466,03601464-60,"Sensors and Transducers 
เซนเซอร์และตัวแปลงสัญญาณ",3(3-0-6),T14
467,03601465-60,"Electrical and Electronics Innovation 
นวัตกรรมทางไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6),T14
468,03601466-60,"Introduction to Robotic Systems 
ระบบหุ่นยนต์เบื้องต้น",3(3-0-6),T14
469,03601471-60,"Analysis and Applications of Electrical Machines 
การวิเคราะห์และประยุกต์เครื่องจักรไฟฟ้า",3(3-0-6),T14
470,03601472-60,"Electric Drives 
การขับเคลื่อนด้วยไฟฟ้า",3(3-0-6),T14
471,03601473-60,"Power Electronics 
อิเล็กทรอนิกส์กำลัง",3(3-0-6),T14
472,03601474-60,"Power Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์กำลัง",1(0-3-2),T14
473,03601475-60,"Power Electronics for Energy Conservation 
อิเล็กทรอนิกส์กำลังสำหรับการอนุรักษ์พลังงาน",3(3-0-6),T14
474,03601476-60,"Distributed Generation Systems 
ระบบผลิตไฟฟ้าจำหน่าย",3(3-0-6),T14
475,03601477-60,"Renewable Energy 
พลังงานหมุนเวียน",3(3-0-6),T14
476,03601478-60,"Energy Conservation and Management 
การอนุรักษ์และการจัดการพลังงาน",3(3-0-6),T14
477,03601479-60,"Electric Vehicle Systems 
ระบบยานยนต์ไฟฟ้า",3(3-0-6),T14
478,03601482-60,"Thermal Sciences 
อุณหศาสตร์",3(3-0-6),T14
479,03601496-60,"Selected Topics in Electrical and Electronics Engineering 
เรื่องเฉพาะทางวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6),T14
480,03601498-60,"Special Problems 
ปัญหาพิเศษ",45352,T14
481,03601211-65,"Electric Circuit Analysis I 
การวิเคราะห์วงจรไฟฟ้า I",3(3-0-6),T14
482,03601212-65,"Electric Circuit Analysis II 
การวิเคราะห์วงจรไฟฟ้า II",3(3-0-6),T14
483,03601213-65,"Electric Circuit Laboratory 
ปฏิบัติการวงจรไฟฟ้า",1(0-3-2),T14
484,03601214-65,"Applied Linear Algebra in Electrical Engineering 
พีชคณิตเชิงเส้นประยุกต์ทางวิศวกรรมไฟฟ้า",3(3-0-6),T14
485,03601215-65,"Applied Probability for Electrical Engineers 
ความน่าจะเป็นประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6),T14
486,03601221-65,"Communication Technology and Smart Grid 
เทคโนโลยีการสื่อสารและโครงข่ายไฟฟ้าอัจฉริยะ",3(3-0-6),T14
487,03601231-65,"Electronic Circuits and Systems I 
วงจรและระบบอิเล็กทรอนิกส์ I",3(3-0-6),T14
488,03601232-65,"Digital Circuits and Logic Design 
การออกแบบวงจรดิจิทัลและตรรกะ",3(3-0-6),T14
489,03601241-65,"Electromagnetic Fields and Waves 
สนามแม่เหล็กไฟฟ้าและคลื่น",3(3-0-6),T14
490,03601251-65,"Electromechanical Energy Conversion I 
การแปลงผันพลังงานเครื่องกลไฟฟา I",3(3-0-6),T14
491,03601252-65,"Electromechanical Energy Conversion Laboratory I 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟา I",1(0-3-2),T14
492,03601271-65,"Practice in Electrical Engineering 
การปฏิบัติงานทางวิศวกรรมไฟฟ้า",1(0-3-2),T14
493,03601311-65,"Signals and Systems 
สูญญาณและระบบ",3(3-0-6),T14
494,03601331-65,"Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์",1(0-3-2),T14
495,03601332-65,"Microprocessors 
ไมโครโพรเซสเซอร์",3(3-0-6),T14
496,03601353-65,"Electrical System Design 
การออกแบบระบบไฟฟ้า",3(3-0-6),T14
497,03601361-65,"Electrical Instruments and Measurements I 
เครื่องมือวัดและการวัดทางไฟฟ้า I",3(3-0-6),T14
498,03601371-65,"Internship Preparation 
การเตรียมความพร้อมก่อนฝึกงาน",1(0-3-2),T14
499,03601458-65,"Electrical Power Generation, Transmission and Distribution 
การผลิต สูง และจำหน่ายกำลังไฟฟ้า",3(3-0-6),T14
500,03601459-65,Safety in Electrical Engineering,3(3-0-6),T14
501,03601473-65,"Power Electronics 
อิเล็กทรอนิกส์กำลัง",3(3-0-6),T14
502,03601477-65,"Renewable Energy 
พลังงานหมุนเวียน",3(3-0-6),T14
503,03601495-65,"Electrical and Electronics Engineering Project I 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ I",1(0-3-2),T14
504,03601497-65,"Seminar 
สัมมนา",1,T14
505,03601499-65,"Electrical and Electronics Engineering Project II 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ II",2(0-6-3),T14
506,03602301-65,"Basic Principles of Production Management 
หลักพื้นฐานการจัดการผลิต",3(3-0-6),T14
507,03604223-65,"Basic Principles of Engineering Mechanics 
หลักพื้นฐานทางกลศาสตร์วิศวกรรม",3(3-0-6),T14
508,03604281-65,"Workshop Practice 
การฝึกงานโรงงาน",1(0-3-2),T14
509,03601314-65,"Digital Signal Processing 
การประมวลสัญญาณดิจิทัล",3(3-0-6),T14
510,03601315-65,"Digital Signal Processing Laboratory 
ปฏิบัติการประมวลสัญญาณดิจิทัล",1(0-3-2),T14
511,03601321-65,"Principles of Communications 
หลักการสื่อสาร",3(3-0-6),T14
512,03601323-65,"Communication Laboratory 
ปฏิบัติการไฟฟ้าสื่สาร",1(0-3-2),T14
513,03601333-65,"Microprocessors Laboratory 
ปฏิบัติการไมโครโพรเซสเซอร์",1(0-3-2),T14
514,03601334-65,"Electronic Circuits and Systems II 
วงจรและระบบอิเล็กทรอนิกส์ II",3(3-0-6),T14
515,03601335-65,"Advanced Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์ขั้นสูง",1(0-3-2),T14
516,03601336-65,"Design and Application of Electronic Circuits 
การออกแบบและประยุกต์วงจรอิเล็กทรอนิกส์",3(3-0-6),T14
517,03601351-65,"Electromechanical Energy Conversion II 
การแปลงผันพลังงานเครื่องกลไฟฟ้า II",3(3-0-6),T14
518,03601352-65,"Electromechanical Energy Conversion Laboratory II 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟ้า II",1(0-3-2),T14
519,03601355-65,"High-Voltage Engineering 
วิศวกรรมไฟฟ้าแรงสูง",3(3-0-6),T14
520,03601356-65,"Illumination Engineering 
วิศวกรรมการส่องสว่าง",3(3-0-6),T14
521,03601357-65,"Electrical Power System 
ระบบไฟฟ้ากำลัง",3(3-0-6),T14
522,03601358-65,"High-Voltage Engineering Laboratory 
ปฏิบัติการวิศวกรรมไฟฟ้าแรงสูง",3(3-0-6),T14
523,03601363-65,"Control and Measurement Laboratory 
ปฏิบัติการการควบคุมและการวัด",1(0-3-2),T14
524,03601364-65,"Industrial Automation Systems 
ระบบอัตโนมัติทางอุตสาหกรรม",3(3-0-6),T14
525,03601365-65,"Industrial Automation Systems Laboratory 
ปฏิบัติการระบบอัตโนมัติทางอุตสาหกรรม",1(0-3-2),T14
526,03601382-65,"Application Programs for Electrical Engineers 
โปรแกรมประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6),T14
527,03601432-65,"Analog Integrated Circuit Application Designs 
การออกแบบประยุกต์วงจรรวมแอนะล็อก",3(3-0-6),T14
528,03601433-65,"Industrial Electronics 
อิเล็กทรอนิกส์อุตสาหกรรม",3(3-0-6),T14
529,03601434-65,"Computer Aided Electronic System Development 
การพัฒนาระบบอิเล็กทรอนิกส์โดยใช้คอมพิวเตอร์ช่วย",3(3-0-6),T14
530,03601451-65,"Basic Power System Reliability 
ความเชื่อถือได้เบื่องตนของระบบกำลัง",3(3-0-6),T14
531,03601452-65,"Electric Power Plants 
โรงจักรไฟฟ้ากำลัง",3(3-0-6),T14
532,03601454-65,"Electric Power Systems Analysis Laboratory 
ปฏิบัติการการวิเคราะห์ระบบไฟฟ้า",1(0-3-2),T14
533,03601456-65,"Power System Protection 
การป้องกันระบบไฟฟ้ากำลัง",3(3-0-6),T14
534,03601457-65,"Electrical Systems and Signal Systems in Building 
ระบบไฟฟ้าและระบบสัญญาณในอาคาร",3(3-0-6),T14
535,03601461-65,"Process Control 
การควบคุมกระบวนการ",3(3-0-6),T14
536,03601462-65,"Industrial Sensors and Control Devices 
เซนเซอร์ทางอุตสาหกรรมและอุปกรณ์ควบคุม",3(3-0-6),T14
537,03601463-65,"Computer Control of Machines and Processes 
การควบคุมเครื่องจักรกลและกระบวนการด้วยคอมพิวเตอร์",3(3-0-6),T14
538,03601464-65,"Sensors and Transducers 
เซนเซอร์และตัวแปลงสัญญาณ",3(3-0-6),T14
539,03601465-65,"ิElectrical and Electronics Innovation 
นวัตกรรมทางไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6),T14
540,03601466-65,"Introduction to Robotic Systems 
ระบบหุ่นยนต์เบื้องต้น",3(3-0-6),T14
541,03601467-65,"Railway Signaling and Control Systems 
ระบบอาณัติสัญญาณและควบคุมระบบราง",3(3-0-6),T14
542,03601471-65,"Analysis and Applications of Electrical Machines 
การวิเคราะห์และประยุกต์เครื่องจักรไฟฟ้า",3(3-0-6),T14
543,03601472-65,"Electric Drives 
การขับเคลื่อนด้วยไฟฟ้า",3(3-0-6),T14
544,03601474-65,"Power Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์กำลัง",1(0-3-2),T14
545,03601475-65,"Power Electronics for Energy Conservation 
อิเล็กทรอนิกส์กำลังสำหรับการอนุรักษ์พลังงาน",3(3-0-6),T14
546,03601476-65,"Distributed Generation Systems 
ระบบผลิตไฟฟ้าจำหน่าย",3(3-0-6),T14
547,03601478-65,"Energy Conservation and Management 
การอนุรักษ์และการจัดการพลังงาน",3(3-0-6),T14
548,03601479-65,"Electric Vehicle Systems 
ระบบยานยนต์ไฟฟ้า",3(3-0-6),T14
549,03601496-65,"Selected Topics in Electrical and Electronics Engineering 
เรื่องเฉพาะทางวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6),T14
550,03601498-65,"Special Problems 
ปัญหาพิเศษ",3(3-0-6),T14
551,03602212-60,"Computer-Aided Design
การออกแบบใช้คอมพิวเตอร์ช่วย",3(2-3-6),T17
552,03602221-60,"Applied Probability and Statistics for Engineers
ความน่าจะเป็นและสถิติประยุกต์สำหรับวิศวกร",3(3-0-6),T17
553,03602222-60,"Parameter Design
การออกแบบพารามิเตอร์",3(3-0-6),T17
554,03602251-60,"Engineering Economy
เศรษฐศาสตร์วิศวกรรม",3(3-0-6),T17
555,03602311-60,"Manufacturing Processes I
กระบวนการผลิต I",3(3-0-6),T17
556,03602312-60,"Introduction to Industrial and Systems Engineering
วิศวกรรมอุตสาหการและระบบเบื้องต้น",1(0-3-2),T17
557,03602321-60,"Operations Research for Engineers I
การวิจัยการดำเนินงานสำหรับวิศวกร I",3(3-0-6),T17
558,03602322-60,"Quality Control
การควบคุมคุณภาพ",3(3-0-6),T17
559,03602341-60,"Industrial Work Study
การศึกษาการทำงานทางอุตสาหกรรม",3(3-0-6),T17
560,03602342-60,"Production Planning and Control
การวางแผนและการควบคุมการผลิต",3(3-0-6),T17
561,03602343-60,"Industrial Plant Design
การออกแบบโรงงานอุตสาหกรรม",3(3-0-6),T17
562,03602361-60,"Computer Applications for Industrial Engineers
คอมพิวเตอร์ประยุกต์สำหรับวิศวกรอุตสาหการ",3(3-0-6),T17
563,03602362-60,"Automatic Production System
ระบบการผลิตอัตโนมัติ",4(3-3-8),T17
564,03602381-60,"Industrial Engineering Laboratory
ปฏิบัติการวิศวกรรมอุตสาหการ",1(0-3-2),T17
565,03602412-60,"Manufacturing System Engineering
วิศวกรรมระบบการผลิต",3(3-0-6),T17
566,03602452-60,"Industrial Cost Analysis
การวิเคราะห์ต้นทุนทางอุตสาหกรรม",3(3-0-6),T17
567,03602461-60,"Systems Engineering
วิศวกรรมระบบ",3(3-0-6),T17
568,03602471-60,"Maintenance Engineering
วิศวกรรมการซ่อมบำรุง",3(3-0-6),T17
569,03602472-60,"Industrial Safety
ความปลอดภัยในอุตสาหกรรม",3(3-0-6),T17
570,03602497-60,"Seminar
สัมมนา",1,T17
571,03604201-60,"Basic Principles of Engineering Mechanics
หลักพื้นฐานทางกลศาสตร์วิศวกรรม",3(3-0-6),T17
572,03604203-60,"Introduction to Thermodynamics and Fluid Mechanics
อุณหพลศาสตร์และกลศาสตร์ของไหลเบื้องต้น",3(3-0-6),T17
573,03604281-60,"Workshop Practice
การฝึกงานโรงงาน",1(0-3-2),T17
574,03604381-60,"Mechanical Engineering Laboratory I
ปฏิบัติการวิศวกรรมเครื่องกล I",1(0-3-2),T17
575,03602495-60,"Industrial and Systems Engineering Project Preparation 
การเตรียมโครงงานวิศวกรรมอุตสาหการและระบบ",1(0-3-2),T17
576,03602499-60,"Industrial and Systems Engineering Project 
โครงงานวิศวกรรมอุตสาหการและระบบ",2(0-6-3),T17
577,03602323-60,"Operations Research for Engineers II
การวิจัยการดำเนินงานสำหรับวิศวกร II",3(3-0-6),T17
578,03602411-60,"Industrial Instrumentation and Measurement
วิชาการเครื่องมือและการวัดทางอุตสาหกรรม",3(3-0-6),T17
579,03602414-60,"Design for Manufacturing and Assembly
การออกแบบเพื่อการผลิตและการประกอบ",3(3-0-6),T17
580,03602415-60,"Industrial Packaging
การบรรจุทางอุตสาหกรรม",3(3-0-6),T17
581,03602416-60,"Computer-Aided Design and Manufacturing
การออกแบบและผลิตใช้คอมพิวเตอร์ช่วย",3(2-3-6),T17
582,03602417-60,"Computer-aided Engineering and Manufacturing
คอมพิวเตอร์ช่วยในงานวิศวกรรมและการผลิต",3(3-0-6),T17
583,03602418-60,"Applied Image Processing for Manufacturing Processes
การประมวลผลภาพเชิงประยุกต์สำหรับกระบวนการผลิต",3(3-0-6),T17
584,03602419-60,"Innovative Product Design and Manufacturing
การออกแบบและการผลิตผลิตภัณฑ์เชิงนวัตกรรม",3(3-0-6),T17
585,03602421-60,"Simulation
การจำลองสถานการณ์",3(3-0-6),T17
586,03602423-60,"Experimental Design for Engineers
การออกแบบแผนการทดลองสำหรับวิศวกร",3(3-0-6),T17
587,03602431-60,"Industrial Management
การจัดการอุตสาหกรรม",3(3-0-6),T17
588,03602432-60,"Design of Industrial Information System
การออกแบบระบบสารสนเทศทางอุตสาหกรรม",3(3-0-6),T17
589,03602442-60,"Energy Management
การจัดการพลังงาน",3(3-0-6),T17
590,03602443-60,"Ergonomics
การยศาสตร์",3(3-0-6),T17
591,03602444-60,"Industrial Forecasting
การพยากรณ์ทางอุตสาหกรรม",3(3-0-6),T17
592,03602445-60,"Value Engineering
วิศวกรรมคุณค่า",3(3-0-6),T17
593,03602446-60,"Productivity Measurement and Management
การวัดและการจัดการผลิตภาพ",3(3-0-6),T17
594,03602451-60,"Industrial and Commercial Laws
กฎหมายอุตสาหกรรมและพาณิชยกรรม",3(3-0-6),T17
595,03602453-60,"Industrial Project Feasibility Study
การศึกษาความเป็นไปได้ของโครงการอุตสาหกรรม",3(3-0-6),T17
596,03602462-60,"Logistics Engineering
วิศวกรรมโลจิสติกส์",3(3-0-6),T17
597,03602496-60,"Selected Topics in Industrial and Systems Engineering
เรื่องเฉพาะทางวิศวกรรมอุตสาหการและระบบ",45352,T17
598,03602498-60,"Special Problems
ปัญหาพิเศษ",45352,T17
599,03602212-65,"Computer-Aided Design
การออกแบบใช้คอมพิวเตอร์ช่วย",3(2-3-6),T17
600,03602221-65,"Applied Probability and Statistics for Engineers
ความน่าจะเป็นและสถิติประยุกต์สำหรับวิศวกร",3(3-0-6),T17
601,03602222-65,"Engineering Experimental Design
การออกแบบการทดลองเชิงวิศวกรรม",3(3-0-6),T17
602,03602223-65,"Introduction to Computation and Intelligent Systems
การคำนวณและระบบอัจฉริยะเบื้องต้น",3(3-0-6),T17
603,03602251-65,"Engineering Economy
เศรษฐศาสตร์วิศวกรรม",3(3-0-6),T17
604,03602311-65,"Manufacturing Processes I
กระบวนการผลิต I",3(3-0-6),T17
605,03602312-65,"Introduction to Industrial and Systems Engineering
วิศวกรรมอุตสาหการและระบบเบื้องต้น",1(0-3-2),T17
606,03602321-65,"Operations Research for Engineers I
การวิจัยการดำเนินงานสำหรับวิศวกร I",3(3-0-6),T17
607,03602322-65,"Quality Control
การควบคุมคุณภาพ",3(3-0-6),T17
608,03602331-65,"Industrial Safety
ความปลอดภัยในอุตสาหกรรม",3(3-0-6),T17
609,03602341-65,"Industrial Work Study
การศึกษาการทำงานทางอุตสาหกรรม",3(3-0-6),T17
610,03602342-65,"Production Planning and Control
การวางแผนและการควบคุมการผลิต",3(3-0-6),T17
611,03602343-65,"Industrial Plant and Facilities Design
การออกแบบโรงงานอุตสหากรรมและสิ่งอำนวยความสะดวก",3(3-0-6),T17
612,03602351-65,"Industrial Cost Analysis
การวิเคราะห์ต้นทุนทางอุตสาหกรรม",3(3-0-6),T17
613,03602361-65,"Computer Applications for Industrial Engineers
คอมพิวเตอร์ประยุกต์สำหรับวิศวกรอุตสาหการ",3(3-0-6),T17
614,03602362-65,"Automatic Production System
ระบบการผลิตอัตโนมัติ",4(3-3-8),T17
615,03602421-65,"Simulation
การจำลองสถานการณ์",3(3-0-6),T17
616,03602433-65,"Maintenance Engineering
วิศวกรรมการซ่อมบำรุง",3(3-0-6),T17
617,03602461-65,"Systems Engineering
วิศวกรรมระบบ",3(3-0-6),T17
618,03602481-65,"Industrial Engineering Laboratory
ปฏิบัติการวิศวกรรมอุตสาหการ",1(0-3-2),T17
619,03602495-65,"Industrial and Systems Engineering Project Preparation
การเตรียมโครงงานวิศวกรรมอุตสาหการและระบบ",1(0-3-2),T17
620,03602499-65,"Industrial and Systems Engineering Project
โครงงานวิศวกรรมอุตสาหการและระบบ",2(0-6-3),T17
621,03604203-65,"Introduction to Thermodynamics and Fluid Mechanics
อุณหพลศาสตร์และกลศาสตร์ของไหลเบื้องต้น",3(3-0-6),T17
622,03604223-65,"Basic Principles of Engineering Mechanics
หลักพื้นฐานทางกลศาสตร์ของไหลเบื้องต้น",3(3-0-6),T17
623,03604281-65,"Workshop Practice
การฝึกงานโรงงาน",1(0-3-2),T17
624,03604381-65,"Mechanical Engineering Laboratory I
ปฏิบัติการวิศวกรรมเครื่องกล I",1(0-3-2),T17
625,03602323-65,"Operations Research for Engineers II
การวิจัยการดำเนินงานสำหรับวิศวกร II",3(3-0-6),T17
626,03602412-65,"Manufacturing System Engineering
วิศวกรรมระบบการผลิต",3(3-0-6),T17
627,03602413-65,"Industrial Packaging
การบรรจุภัณฑ์ทางอุตสาหกรรม",3(3-0-6),T17
628,03602414-65,"Computer-Aided Design and Manufacturing
การออกแบบและผลิตใช้คอมพิวเตอร์ช่วย",3(2-3-6),T17
629,03602415-65,"Computer-Aided Engineering and Manufacturing
คอมพิวเตอร์ช่วนในงานวิศวกรรมและการผลิต",3(2-3-6),T17
630,03602416-65,"Applied Image Processing for Manufacturing Processes
การประมวลผลภาพเชิงประยุกต์สำหรับกระบวนการผลิต",3(3-0-6),T17
631,03602417-65,"Innovative Product Design and Manufacturing
การออกแบบและการผลิตภัณฑ์เชิงนวัตกรรม",3(3-0-6),T17
632,03602418-65,"Application of Industrial Internet of Things in Manufacturing Systems
การประยุกต์อินเตอร์เน็ตสรรพสิ่งสำหรับอุตสาหกรรมในระบบการผลิต",3(3-0-6),T17
633,03602422-65,"Practical Operations Research
การวิจัยการดำเนินงานภาคปฏิบัติ",3(3-0-6),T17
634,03602431-65,"Innovative Industrial Management
การจัดการนวัตกรรมอุตสาหกรรม",3(3-0-6),T17
635,03602432-65,"Design of Industrial Information System
การออกแบบระบบสารสนเทศทางอุตสาหกรรม",3(3-0-6),T17
636,03602434-65,"Lean Manufacturing
การจัดการพลังงาน",3(3-0-6),T17
637,03602441-65,"Shop Floor Management
การบริหารพื้นที่ผลิต",3(3-0-6),T17
638,03602442-65,"Energy Management
การจัดการพลังงาน",3(3-0-6),T17
639,03602443-65,"Ergonomics
การยศาสตร์",3(3-0-6),T17
640,03602445-65,"Value Engineering
วิศวกรรมคุณค่า",3(3-0-6),T17
641,03602446-65,"Productivity Measurement and Management
การวัดและการจัดการผลิตภาพ",3(3-0-6),T17
642,03602451-65,"Industrial Project Feasibility Study
การศึกษาความเป็นไปได้ของโครงการอุตสาหกรรม",3(3-0-6),T17
643,03602471-65,"Logistics Engineering
วิศวกรรมโลจิสติกส์",3(3-0-6),T17
644,03602472-65,"Inventory Management and Warehouse Operations
การจัดการสินค้าคงคลังและการดำเนินงานคลังสินค้า",3(3-0-6),T17
645,03602473-65,"Strategies for Managing Supply Chains
กลยุทธ์สำหรับการจัดการโซ่อุปทาน",3(3-0-6),T17
646,03602496-65,"Selected Topics in Industrial and Systems Engineering
เรื่องเฉพาะทางวิศวกรรมอุตสาหการและระบบ",3(3-0-6),T17
647,03602498-65,"Special Problems
ปัญหาพิเศษ",3(3-0-6),T17
